"Package" "Built"
"1" "abind" "3.6.1"
"2" "acepack" "3.6.1"
"3" "ada" "3.6.1"
"4" "ade4" "3.6.1"
"5" "AER" "3.6.1"
"6" "afex" "3.6.1"
"7" "AGD" "3.6.1"
"8" "akima" "3.6.1"
"9" "ALDEx2" "3.6.1"
"10" "alr3" "3.6.1"
"11" "amap" "3.6.1"
"12" "ampvis" "3.3.2"
"13" "annotate" "3.6.1"
"14" "AnnotationDbi" "3.6.1"
"15" "ape" "3.6.1"
"16" "aplpack" "3.6.1"
"17" "argon2" "3.6.1"
"18" "arm" "3.6.1"
"19" "arules" "3.6.1"
"20" "ascii" "3.4.2"
"21" "askpass" "3.6.1"
"22" "assertthat" "3.6.1"
"23" "AUC" "3.6.1"
"24" "backports" "3.6.1"
"25" "base64enc" "3.6.1"
"26" "bayesplot" "3.6.1"
"27" "BayesX" "3.6.1"
"28" "BayesXsrc" "3.6.1"
"29" "bbmle" "3.6.1"
"30" "bdsmatrix" "3.6.1"
"31" "betapart" "3.6.1"
"32" "betareg" "3.6.1"
"33" "BH" "3.6.1"
"34" "BiasedUrn" "3.6.1"
"35" "bibtex" "3.6.1"
"36" "biglm" "3.6.1"
"37" "bindr" "3.6.1"
"38" "bindrcpp" "3.6.1"
"39" "binGroup" "3.6.1"
"40" "Biobase" "3.6.1"
"41" "BiocGenerics" "3.6.1"
"42" "BiocInstaller" "3.4.2"
"43" "BiocManager" "3.6.1"
"44" "BiocParallel" "3.6.1"
"45" "BiocVersion" "3.6.1"
"46" "biom" "3.3.2"
"47" "biomformat" "3.6.1"
"48" "Biostrings" "3.6.1"
"49" "bit" "3.6.1"
"50" "bit64" "3.6.1"
"51" "bitops" "3.6.1"
"52" "blme" "3.6.1"
"53" "blob" "3.6.1"
"54" "bold" "3.6.1"
"55" "bootstrap" "3.6.1"
"56" "boral" "3.4.2"
"57" "Boruta" "3.6.1"
"58" "BradleyTerry2" "3.6.1"
"59" "brew" "3.6.1"
"60" "brglm" "3.6.1"
"61" "Brobdingnag" "3.6.1"
"62" "broom" "3.6.1"
"63" "BSDA" "3.6.1"
"64" "callr" "3.6.1"
"65" "candisc" "3.6.1"
"66" "car" "3.6.1"
"67" "carData" "3.6.1"
"68" "caret" "3.6.1"
"69" "catdata" "3.6.1"
"70" "caTools" "3.6.1"
"71" "cba" "3.6.1"
"72" "cellranger" "3.6.1"
"73" "checkmate" "3.6.1"
"74" "chron" "3.6.1"
"75" "Ckmeans.1d.dp" "3.6.1"
"76" "classInt" "3.6.1"
"77" "cli" "3.6.1"
"78" "clipr" "3.6.1"
"79" "clisymbols" "3.6.1"
"80" "clubSandwich" "3.6.1"
"81" "clusterGeneration" "3.6.1"
"82" "clusterSEs" "3.6.1"
"83" "ClusterSignificance" "3.6.1"
"84" "cmprsk" "3.6.1"
"85" "coda" "3.6.1"
"86" "coin" "3.6.1"
"87" "colorspace" "3.6.1"
"88" "combinat" "3.6.1"
"89" "commonmark" "3.6.1"
"90" "CompQuadForm" "3.6.1"
"91" "conf.design" "3.6.1"
"92" "cooccur" "3.6.1"
"93" "corpcor" "3.6.1"
"94" "corrplot" "3.6.1"
"95" "covr" "3.6.1"
"96" "cowplot" "3.6.1"
"97" "CoxBoost" "3.6.1"
"98" "crayon" "3.6.1"
"99" "crosstalk" "3.6.1"
"100" "crrstep" "3.6.1"
