Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
abind,/usr/local/lib/R/site-library,1.4-5,NA,R (>= 1.5.0),"methods, utils",NA,NA,NA,LGPL (>= 2),NA,NA,NA,NA,no,3.6.1
acepack,/usr/local/lib/R/site-library,1.4.1,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
ada,/usr/local/lib/R/site-library,2.0-5,NA,"R(>= 2.10),rpart",NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,3.6.1
ade4,/usr/local/lib/R/site-library,1.7-13,NA,R (>= 2.10),"graphics, grDevices, methods, stats, utils, MASS",NA,"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, pixmap, sp, spdep, splancs, waveslim",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
AER,/usr/local/lib/R/site-library,1.2-7,NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg,
tseries, urca, vars",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
afex,/usr/local/lib/R/site-library,0.24-1,NA,"R (>= 3.5.0), lme4 (>= 1.1-8)","pbkrtest (>= 0.4-1), lmerTest (>= 3.0-0), car, reshape2,
stats, methods",NA,"emmeans (>= 1.1.2), coin, xtable, parallel, plyr, optimx,
nloptr, knitr, rmarkdown, R.rsp, lattice, latticeExtra,
multcomp, testthat, mlmRev, dplyr, tidyr, dfoptim, Matrix,
psych, ggplot2, MEMSS, effects, carData, ggbeeswarm, nlme,
cowplot, jtools, ggpubr, ggpol, MASS, glmmTMB, brms, rstanarm",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
AGD,/usr/local/lib/R/site-library,0.39,NA,R (>= 2.10.0),"gamlss, gamlss.dist",NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
akima,/usr/local/lib/R/site-library,0.6-2,NA,R (>= 2.0.0),sp,NA,NA,NA,ACM | file LICENSE,NA,yes,NA,NA,yes,3.6.1
ALDEx2,/usr/local/lib/R/site-library,1.16.0,NA,"methods, stats","BiocParallel, GenomicRanges, IRanges, S4Vectors,
SummarizedExperiment, multtest",NA,"testthat, BiocStyle, knitr, rmarkdown",NA,file LICENSE,NA,NA,NA,NA,no,3.6.1
alr3,/usr/local/lib/R/site-library,2.0.8,NA,"R (>= 3.2.0), car",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
amap,/usr/local/lib/R/site-library,0.8-17,NA,R (>= 3.6.0),NA,NA,Biobase,NA,GPL,NA,NA,NA,NA,yes,3.6.1
ampvis,/usr/local/lib/R/site-library,1.27.0,NA,"
ggplot2,
ggrepel,
reshape2,
phyloseq,
grid,
vegan,
knitr,
igraph,
RColorBrewer,
Biostrings,
data.table,
DESeq2,
ggdendro,
stringr,
dplyr,
magrittr,
gridExtra,
scales",NA,NA,NA,NA,AGPL-3,NA,NA,NA,NA,NA,3.3.2
annotate,/usr/local/lib/R/site-library,1.62.0,NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), RCurl",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, hom.Hs.inp.db, humanCHRLOC, Rgraphviz, RUnit,",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
AnnotationDbi,/usr/local/lib/R/site-library,1.46.1,NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25)",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, KEGG.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, hom.Hs.inp.db,
org.Hs.eg.db, reactome.db, AnnotationForge, graph,
EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
ape,/usr/local/lib/R/site-library,5.3,NA,R (>= 3.2.0),"nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)",Rcpp,"gee, expm, igraph",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
aplpack,/usr/local/lib/R/site-library,1.3.3,NA,R (>= 3.0.0),NA,NA,"tkrplot, jpeg, png, splines, utils, tcltk",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
argon2,/usr/local/lib/R/site-library,0.2-0,NA,R (>= 3.0.0),NA,NA,NA,NA,BSD 2-clause License + file LICENSE,NA,NA,NA,NA,yes,3.6.1
arm,/usr/local/lib/R/site-library,1.10-1,NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
arules,/usr/local/lib/R/site-library,1.6-3,NA,"R (>= 3.4.0), Matrix (>= 1.2-0)","stats, methods, graphics, utils",NA,"pmml, XML, arulesViz, testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
ascii,/usr/local/lib/R/site-library,2.1,NA,"R (>= 2.13), utils, methods",NA,NA,"survival, Hmisc, xtable, R2HTML, cacheSweave, weaver",NA,GPL (>= 2),NA,NA,NA,NA,NA,3.4.2
askpass,/usr/local/lib/R/site-library,1.1,NA,NA,sys (>= 2.1),NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
assertthat,/usr/local/lib/R/site-library,0.2.1,NA,NA,tools,NA,"testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
AUC,/usr/local/lib/R/site-library,0.3.0,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
